scale,metric,n,mean_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms
834,fullchain,15,1526.0,1559.1,1831.0,2413.1,1080.0,2413.1
834,retrieval_cascade,60,182.2,180.3,200.9,211.4,152.0,223.8
834,tier2_mysql,60,182.5,181.8,199.4,212.5,160.6,279.9
834,tier3_keyword,60,116.7,123.6,138.9,143.7,28.5,228.4
2000,fullchain,15,2088.5,1985.0,2516.1,3122.1,1723.4,3122.1
2000,retrieval_cascade,60,542.2,531.9,609.4,642.2,490.4,656.8
2000,tier2_mysql,60,564.3,550.1,654.1,665.1,508.2,755.7
2000,tier3_keyword,60,293.4,295.9,313.3,404.2,168.4,410.9
4000,fullchain,15,2323.2,2369.9,2563.3,2588.5,1830.2,2588.5
4000,retrieval_cascade,60,979.0,954.2,1148.7,1156.3,864.9,1193.6
4000,tier2_mysql,60,955.7,923.7,1093.7,1102.7,860.0,1281.3
4000,tier3_keyword,60,584.7,591.2,697.1,714.6,438.4,717.4
8000,fullchain,15,3821.7,3800.1,4500.5,4549.9,3379.3,4549.9
8000,retrieval_cascade,60,2370.8,2325.9,2672.4,2729.5,2158.7,2804.3
8000,tier2_mysql,60,2395.9,2362.7,2657.5,2706.5,2172.4,2744.4
8000,tier3_keyword,60,1494.4,1472.4,1772.1,1834.7,1287.4,1873.3
